SimulationNo,OccurrenceNo,ClaimNo,ClaimMadeBusiness,Converted,AccidentDate,ReportDate,Covariate,Line,Type,TotalLoss,ClaimLiability,Limit,Deductible,TotalPayment,PaymentDate,CloseDate
1,    1,    1,FALSE,NA,2001-01-09,2001-07-08,NA,Line 1,Type 1,6327.80999501795,TRUE,1e+07,0,6327.80999501795,2001-11-01,2001-11-01
1,    2,    2,FALSE,NA,2001-01-13,2001-06-24,NA,Line 1,Type 1,5303.40102570024,TRUE,1e+07,0,5303.40102570024,2001-10-19,2001-10-19
1,    3,    3,FALSE,NA,2001-01-24,2001-06-30,NA,Line 1,Type 1,5596.79088940776,TRUE,1e+07,0,5596.79088940776,2001-08-07,2001-08-07
1,    4,    4,FALSE,NA,2001-01-09,2001-03-13,NA,Line 1,Type 1,4480.81361145459,TRUE,1e+07,0,4480.81361145459,2003-12-05,2003-12-05
1,    5,    5,FALSE,NA,2001-01-26,2001-08-28,NA,Line 1,Type 1,5165.95522117711,TRUE,1e+07,0,5165.95522117711,2009-07-25,2009-07-25
1,    6,    6,FALSE,NA,2001-01-16,2001-03-12,NA,Line 1,Type 1,5598.71053298209,TRUE,1e+07,0,5598.71053298209,2004-08-19,2004-08-19
1,    7,    7,FALSE,NA,2001-01-26,2001-01-27,NA,Line 1,Type 1,4989.5762600284,TRUE,1e+07,0,4989.5762600284,2025-06-28,2025-06-28
1,    8,    8,FALSE,NA,2001-01-07,2001-02-28,NA,Line 1,Type 1,4780.24270865942,TRUE,1e+07,0,4780.24270865942,2001-12-03,2001-12-03
1,    9,    9,FALSE,NA,2001-01-12,2001-01-22,NA,Line 1,Type 1,3983.19647214058,TRUE,1e+07,0,3983.19647214058,2001-08-27,2001-08-27
1,   10,   10,FALSE,NA,2001-01-17,2001-08-17,NA,Line 1,Type 1,4854.51318502013,TRUE,1e+07,0,4854.51318502013,2002-07-14,2002-07-14
