ClaimNo,ClaimMadeBusiness,AccidentDate,ReportDate,Covariate,Line,Type,TotalLoss,ClaimLiability,Limit,Deductible,TotalPayment,ClaimStatus,PaymentDate,CloseDate
1,FALSE,2001-01-09,2001-01-10,NA,GEN,LB,3445.949767,TRUE,1.00E+07,0,3445.949767,CLOSED,,2001-03-13
2,FALSE,2001-01-13,2001-01-15,NA,GEN,LB,3735.267964,TRUE,1.00E+07,0,3735.267964,CLOSED,,2007-04-27
3,FALSE,2001-01-24,2001-02-04,NA,GEN,LB,14430.32336,TRUE,1.00E+07,0,14430.32336,CLOSED,,2007-08-20
4,FALSE,2001-01-09,2001-03-19,NA,GEN,LB,2407.239963,TRUE,1.00E+07,0,2407.239963,CLOSED,,2001-04-12
5,FALSE,2001-01-26,2001-02-01,NA,GEN,LB,6968.084464,TRUE,1.00E+07,0,6968.084464,CLOSED,,2004-02-06
6,FALSE,2001-01-16,2001-05-03,NA,GEN,LB,20183.49222,TRUE,1.00E+07,0,20183.49222,CLOSED,,2004-07-21
7,FALSE,2001-01-26,2001-04-13,NA,GEN,LB,10987.37751,TRUE,1.00E+07,0,10987.37751,CLOSED,,2004-07-12
8,FALSE,2001-01-07,2001-07-08,NA,GEN,LB,15938.25834,TRUE,1.00E+07,0,15938.25834,CLOSED,,2006-11-08
9,FALSE,2001-01-12,2001-03-31,NA,GEN,LB,3944.79661,TRUE,1.00E+07,0,3944.79661,CLOSED,,2001-04-27
10,FALSE,2001-01-17,2001-04-21,NA,GEN,LB,32863.31951,TRUE,1.00E+07,0,32863.31951,CLOSED,,2014-10-31
11,FALSE,2001-01-14,2001-01-23,NA,GEN,LB,12349.08917,TRUE,1.00E+07,0,12349.08917,CLOSED,,2008-10-31
12,FALSE,2001-01-14,2001-08-23,NA,GEN,LB,12542.63406,TRUE,1.00E+07,0,12542.63406,CLOSED,,2004-07-17
13,FALSE,2001-01-15,2001-01-28,NA,GEN,LB,2315.851508,TRUE,1.00E+07,0,2315.851508,CLOSED,,2001-10-08
14,FALSE,2001-01-27,2001-10-30,NA,GEN,LB,926.4724836,TRUE,1.00E+07,0,926.4724836,CLOSED,,2004-09-16
15,FALSE,2001-01-24,2001-02-28,NA,GEN,LB,2835.625035,TRUE,1.00E+07,0,2835.625035,CLOSED,,2003-07-05
16,FALSE,2001-01-21,2001-02-20,NA,GEN,LB,4631.415143,TRUE,1.00E+07,0,4631.415143,CLOSED,,2003-03-30
17,FALSE,2001-01-21,2001-05-05,NA,GEN,LB,11156.39894,TRUE,1.00E+07,0,11156.39894,CLOSED,,2008-03-08
18,FALSE,2001-01-13,2001-04-03,NA,GEN,LB,26046.89312,TRUE,1.00E+07,0,26046.89312,CLOSED,,2020-08-03
19,FALSE,2001-01-04,2001-02-19,NA,GEN,LB,2674.860302,TRUE,1.00E+07,0,2674.860302,CLOSED,,2004-09-21
20,FALSE,2001-01-17,2001-04-10,NA,GEN,LB,5384.459686,TRUE,1.00E+07,0,5384.459686,CLOSED,,2006-11-02
21,FALSE,2001-01-11,2001-01-20,NA,GEN,LB,821.3159561,TRUE,1.00E+07,0,821.3159561,CLOSED,,2004-06-25
22,FALSE,2001-01-08,2001-04-20,NA,GEN,LB,3361.984029,TRUE,1.00E+07,0,3361.984029,CLOSED,,2002-01-02
23,FALSE,2001-01-25,2001-06-27,NA,GEN,LB,3625.243914,TRUE,1.00E+07,0,3625.243914,CLOSED,,2002-05-08
24,FALSE,2001-01-16,2001-02-14,NA,GEN,LB,11866.32475,TRUE,1.00E+07,0,11866.32475,CLOSED,,2005-04-20
25,FALSE,2001-01-17,2001-09-02,NA,GEN,LB,9284.971415,TRUE,1.00E+07,0,9284.971415,CLOSED,,2009-01-09
26,FALSE,2001-01-13,2001-04-18,NA,GEN,LB,8461.396364,TRUE,1.00E+07,0,8461.396364,CLOSED,,2003-05-05
27,FALSE,2001-01-18,2001-02-14,NA,GEN,LB,4034.415073,TRUE,1.00E+07,0,4034.415073,CLOSED,,2003-12-12
28,FALSE,2001-01-24,2002-05-25,NA,GEN,LB,10224.37624,TRUE,1.00E+07,0,10224.37624,CLOSED,,2008-08-14
29,FALSE,2001-01-19,2001-06-13,NA,GEN,LB,16140.34327,TRUE,1.00E+07,0,16140.34327,CLOSED,,2017-07-26
30,FALSE,2001-01-27,2001-02-15,NA,GEN,LB,7736.498971,TRUE,1.00E+07,0,7736.498971,CLOSED,,2003-08-29
31,FALSE,2001-01-14,2001-06-03,NA,GEN,LB,9988.172445,TRUE,1.00E+07,0,9988.172445,CLOSED,,2011-12-04
32,FALSE,2001-01-02,2001-01-03,NA,GEN,LB,4196.845108,TRUE,1.00E+07,0,4196.845108,CLOSED,,2001-05-12
33,FALSE,2001-01-30,2001-04-12,NA,GEN,LB,7218.271258,TRUE,1.00E+07,0,7218.271258,CLOSED,,2004-06-22
34,FALSE,2001-01-12,2001-01-16,NA,GEN,LB,2532.00675,TRUE,1.00E+07,0,2532.00675,CLOSED,,2001-09-18
35,FALSE,2001-01-26,2001-03-20,NA,GEN,LB,3356.411524,TRUE,1.00E+07,0,3356.411524,CLOSED,,2001-12-16
36,FALSE,2001-01-17,2001-01-29,NA,GEN,LB,4164.709337,TRUE,1.00E+07,0,4164.709337,CLOSED,,2004-06-10
37,FALSE,2001-01-06,2001-05-11,NA,GEN,LB,3386.319312,TRUE,1.00E+07,0,3386.319312,CLOSED,,2001-06-28
38,FALSE,2001-01-28,2001-03-31,NA,GEN,LB,504.1988067,TRUE,1.00E+07,0,504.1988067,CLOSED,,2003-05-19
39,FALSE,2001-01-10,2001-02-13,NA,GEN,LB,3791.828364,TRUE,1.00E+07,0,3791.828364,CLOSED,,2003-05-29
40,FALSE,2001-01-26,2001-05-10,NA,GEN,LB,18113.97431,TRUE,1.00E+07,0,18113.97431,CLOSED,,2006-01-31
41,FALSE,2001-01-15,2001-04-05,NA,GEN,LB,1972.264693,TRUE,1.00E+07,0,1972.264693,CLOSED,,2001-08-18
42,FALSE,2001-01-13,2001-02-25,NA,GEN,LB,17611.58704,TRUE,1.00E+07,0,17611.58704,CLOSED,,2008-01-13
43,FALSE,2001-01-07,2001-01-18,NA,GEN,LB,1000.032353,TRUE,1.00E+07,0,1000.032353,CLOSED,,2004-12-31
44,FALSE,2001-01-21,2001-02-16,NA,GEN,LB,6627.824968,TRUE,1.00E+07,0,6627.824968,CLOSED,,2007-07-29
45,FALSE,2001-02-09,2001-07-05,NA,GEN,LB,6116.707665,TRUE,1.00E+07,0,6116.707665,CLOSED,,2005-03-26
46,FALSE,2001-02-15,2001-03-23,NA,GEN,LB,2820.088344,TRUE,1.00E+07,0,2820.088344,CLOSED,,2013-02-27
47,FALSE,2001-02-10,2001-02-12,NA,GEN,LB,1926.036073,TRUE,1.00E+07,0,1926.036073,CLOSED,,2003-07-16
48,FALSE,2001-02-10,2001-03-14,NA,GEN,LB,1566.812459,TRUE,1.00E+07,0,1566.812459,CLOSED,,2003-11-24
49,FALSE,2001-02-12,2001-03-07,NA,GEN,LB,10674.96676,TRUE,1.00E+07,0,10674.96676,CLOSED,,2003-07-23
50,FALSE,2001-02-25,2001-11-17,NA,GEN,LB,10327.92712,TRUE,1.00E+07,0,10327.92712,CLOSED,,2008-12-18
51,FALSE,2001-02-23,2001-04-13,NA,GEN,LB,50151.6858,TRUE,1.00E+07,0,50151.6858,CLOSED,,2029-05-21
52,FALSE,2001-02-17,2001-09-03,NA,GEN,LB,3770.057681,TRUE,1.00E+07,0,3770.057681,CLOSED,,2001-10-16
53,FALSE,2001-02-07,2001-04-28,NA,GEN,LB,4991.190456,TRUE,1.00E+07,0,4991.190456,CLOSED,,2003-03-01
54,FALSE,2001-02-15,2001-05-11,NA,GEN,LB,6653.080714,TRUE,1.00E+07,0,6653.080714,CLOSED,,2002-08-02
55,FALSE,2001-02-03,2001-11-21,NA,GEN,LB,8549.364505,TRUE,1.00E+07,0,8549.364505,CLOSED,,2003-10-23
56,FALSE,2001-02-18,2001-05-05,NA,GEN,LB,15004.78656,TRUE,1.00E+07,0,15004.78656,CLOSED,,2002-02-07
