ClaimNo,TransactionDate,Action,CaseReserve,Payment
1,2001-01-10,RPT,3445.949767,0
1,2001-02-04,INT40,0,0
1,2001-02-23,INT70,0,0
1,2001-03-07,INT90,0,0
1,2001-03-13,PMT,-3445.949767,3445.949767
2,2001-01-15,RPT,3735.267964,0
2,2001-06-30,RES,0,0
2,2002-06-30,RES,0,0
2,2003-06-30,RES,0,0
2,2003-07-21,INT40,0,0
2,2003-12-25,PMT,-889.2476762,889.2476762
2,2004-01-28,PMT,-254.7112145,254.7112145
2,2004-06-30,RES,0,0
2,2005-06-08,INT70,0,0
2,2005-06-30,RES,0,0
2,2006-06-30,RES,0,0
2,2006-09-10,INT90,0,0
2,2007-04-27,PMT,-2591.309073,2591.309073
3,2001-02-04,RPT,14430.32336,0
3,2001-06-30,RES,0,0
3,2001-09-27,PMT,-2654.456409,2654.456409
3,2002-06-30,RES,0,0
3,2002-12-04,PMT,-3794.688855,3794.688855
3,2003-06-30,RES,0,0
3,2003-09-17,INT40,0,0
3,2003-09-23,PMT,-2573.440427,2573.440427
3,2004-06-30,RES,0,0
3,2004-07-01,PMT,-113.5812141,113.5812141
3,2005-06-30,RES,0,0
3,2005-09-03,INT70,0,0
3,2006-06-30,RES,0,0
3,2006-12-25,INT90,0,0
3,2007-06-30,RES,0,0
3,2007-08-20,PMT,-5294.156455,5294.156455
4,2001-03-19,RPT,2407.239963,0
4,2001-03-29,INT40,0,0
4,2001-04-05,INT70,0,0
4,2001-04-10,INT90,0,0
4,2001-04-12,PMT,-2407.239963,2407.239963
5,2001-02-01,RPT,6968.084464,0
5,2001-06-30,RES,0,0
5,2001-09-28,PMT,-3677.016422,3677.016422
5,2002-04-17,INT40,0,0
5,2002-06-30,RES,0,0
5,2003-03-14,INT70,0,0
5,2003-06-30,RES,0,0
5,2003-10-20,INT90,0,0
5,2004-01-22,PMT,-1785.224458,1785.224458
5,2004-02-06,PMT,-1505.843584,1505.843584
6,2001-05-03,RPT,20183.49222,0
6,2001-06-30,RES,0,0
6,2001-09-03,PMT,-1822.915444,1822.915444
6,2002-06-30,RES,0,0
6,2002-08-16,INT40,0,0
6,2003-06-30,RES,0,0
6,2003-08-04,INT70,0,0
6,2003-08-16,PMT,-482.8631847,482.8631847
6,2004-03-26,INT90,0,0
6,2004-06-30,RES,0,0
6,2004-07-21,PMT,-17877.71359,17877.71359
7,2001-04-13,RPT,10987.37751,0
7,2001-06-30,RES,0,0
7,2002-02-22,PMT,-2900.314519,2900.314519
7,2002-06-30,RES,0,0
7,2002-07-31,INT40,0,0
7,2003-06-30,RES,0,0
7,2003-07-22,INT70,0,0
7,2004-03-15,INT90,0,0
7,2004-06-30,RES,0,0
7,2004-07-12,PMT,-8087.06299,8087.06299
8,2001-07-08,RPT,15938.25834,0
8,2002-06-30,RES,0,0
8,2003-06-30,RES,0,0
8,2003-08-27,INT40,0,0
8,2004-06-30,RES,0,0
8,2005-04-02,INT70,0,0
8,2005-04-27,PMT,-9803.024864,9803.024864
8,2005-06-30,RES,0,0
8,2006-02-12,PMT,-4486.79161,4486.79161
8,2006-04-27,INT90,0,0
8,2006-06-30,RES,0,0
8,2006-11-08,PMT,-1648.441866,1648.441866
9,2001-03-31,RPT,3944.79661,0
9,2001-04-11,INT40,0,0
9,2001-04-19,INT70,0,0
9,2001-04-25,INT90,0,0
9,2001-04-27,PMT,-3944.79661,3944.79661
10,2001-04-21,RPT,32863.31951,0
10,2001-06-30,RES,0,0
10,2002-06-30,RES,0,0
10,2003-06-30,RES,0,0
10,2004-06-30,RES,0,0
10,2005-06-30,RES,0,0
10,2006-06-30,RES,0,0
10,2006-09-18,INT40,0,0
10,2007-06-30,RES,0,0
10,2008-06-18,PMT,-19299.88365,19299.88365
10,2008-06-30,RES,0,0
10,2009-06-30,RES,0,0
10,2010-06-30,RES,0,0
10,2010-09-25,PMT,-4385.496936,4385.496936
10,2010-10-10,INT70,0,0
10,2011-06-30,RES,0,0
10,2012-06-30,RES,0,0
10,2012-07-31,PMT,-1913.430531,1913.430531
10,2013-06-24,INT90,0,0
10,2013-06-30,RES,0,0
10,2014-06-30,RES,0,0
10,2014-10-31,PMT,-7264.508396,7264.508396
11,2001-01-23,RPT,12349.08917,0
11,2001-06-30,RES,0,0
11,2002-06-30,RES,0,0
11,2002-12-30,PMT,-1688.874829,1688.874829
11,2003-06-30,RES,0,0
11,2004-03-03,INT40,0,0
11,2004-06-30,RES,0,0
11,2005-01-29,PMT,-3554.083119,3554.083119
11,2005-06-30,RES,0,0
11,2006-06-30,RES,0,0
11,2006-07-03,INT70,0,0
11,2007-06-30,RES,0,0
11,2008-01-21,INT90,0,0
11,2008-06-30,RES,0,0
11,2008-10-31,PMT,-7106.131223,7106.131223
12,2001-08-23,RPT,12542.63406,0
12,2002-06-30,RES,0,0
12,2002-07-28,PMT,-9654.527986,9654.527986
12,2002-10-21,INT40,0,0
12,2003-06-30,RES,0,0
12,2003-09-04,INT70,0,0
12,2004-04-03,INT90,0,0
12,2004-06-30,RES,0,0
12,2004-07-17,PMT,-2888.106073,2888.106073
13,2001-01-28,RPT,2315.851508,0
13,2001-05-09,INT40,0,0
13,2001-06-30,RES,0,0
13,2001-07-25,INT70,0,0
13,2001-09-13,INT90,0,0
13,2001-10-08,PMT,-2315.851508,2315.851508
14,2001-10-30,RPT,926.4724836,0
14,2002-06-30,RES,0,0
14,2002-12-25,INT40,0,0
14,2003-06-30,RES,0,0
14,2003-11-06,INT70,0,0
14,2004-06-03,INT90,0,0
14,2004-06-30,RES,0,0
14,2004-09-16,PMT,-926.4724836,926.4724836
15,2001-02-28,RPT,2835.625035,0
15,2001-06-30,RES,0,0
