SimulationNo,OccurrenceNo,ClaimNo,TransactionDate,Action,CaseReserve,Payment,Loss
1,1,1,2001-07-08,RPT,3796.68599701077,0,0
1,1,1,2001-08-23,INT40,0,0,0
1,1,1,2001-09-27,INT70,0,0,0
1,1,1,2001-10-20,INT90,0,0,0
1,1,1,2001-11-01,PMT,-3796.68599701077,6327.80999501795,0
1,10,10,2001-08-17,RPT,2912.70791101208,0,0
1,10,10,2001-12-27,INT40,0,0,0
1,10,10,2002-04-06,INT70,0,0,0
1,10,10,2002-06-11,INT90,0,0,0
1,10,10,2002-06-30,RES,1120.49790735812,0,0
1,10,10,2002-07-14,PMT,-4033.2058183702,4854.51318502013,0
1,100,100,2001-04-27,RPT,3315.47239956785,0,0
1,100,100,2001-06-30,RES,0,0,0
1,100,100,2002-06-30,RES,0,0,0
1,100,100,2002-07-05,INT40,0,0,0
1,100,100,2003-05-26,INT70,0,0,0
1,100,100,2003-06-30,RES,0,0,0
1,100,100,2003-12-29,INT90,0,0,0
1,100,100,2004-04-15,PMT,-3315.47239956785,5525.78733261308,0
1,1000,1000,2001-12-22,RPT,3939.12236820891,0,0
1,1000,1000,2002-06-30,RES,0,0,0
1,1000,1000,2002-07-27,INT40,0,0,0
1,1000,1000,2003-01-06,INT70,0,0,0
1,1000,1000,2003-04-25,INT90,0,0,0
1,1000,1000,2003-06-18,PMT,-3939.12236820891,6565.20394701485,0
1,10000,10000,2009-07-08,RPT,2675.87238697301,0,0
1,10000,10000,2010-06-30,RES,0,0,0
1,10000,10000,2010-11-22,INT40,0,0,0
1,10000,10000,2011-06-30,RES,0,0,0
1,10000,10000,2011-12-04,INT70,0,0,0
1,10000,10000,2012-06-30,RES,0,0,0
1,10000,10000,2012-08-11,INT90,0,0,0
1,10000,10000,2012-12-15,PMT,-2675.87238697301,4459.78731162168,0
1,10001,10001,2010-03-07,RPT,2097.52068226166,0,0
1,10001,10001,2010-06-30,RES,0,0,0
1,10001,10001,2011-06-30,RES,0,0,0
1,10001,10001,2012-06-30,RES,0,0,0
1,10001,10001,2013-06-30,RES,0,0,0
1,10001,10001,2014-06-30,RES,0,0,0
1,10001,10001,2014-11-08,INT40,0,0,0
1,10001,10001,2015-06-30,RES,0,0,0
1,10001,10001,2016-06-30,RES,0,0,0
1,10001,10001,2017-06-30,RES,0,0,0
1,10001,10001,2018-05-12,INT70,0,0,0
1,10001,10001,2018-06-30,RES,0,0,0
1,10001,10001,2019-06-30,RES,0,0,0
1,10001,10001,2020-06-30,RES,0,0,0
1,10001,10001,2020-09-11,INT90,0,0,0
1,10001,10001,2021-06-30,RES,956.039573701892,0,0
1,10001,10001,2021-11-12,PMT,-3053.56025596355,3495.86780376943,0
1,10002,10002,2010-04-14,RPT,2635.28685220714,0,0
1,10002,10002,2010-06-30,RES,0,0,0
1,10002,10002,2011-06-30,RES,0,0,0
1,10002,10002,2011-12-17,INT40,0,0,0
1,10002,10002,2012-06-30,RES,0,0,0
1,10002,10002,2013-03-19,INT70,0,0,0
1,10002,10002,2013-06-30,RES,0,0,0
1,10002,10002,2014-01-19,INT90,0,0,0
1,10002,10002,2014-06-21,PMT,-2635.28685220714,4392.14475367856,0
1,10003,10003,2009-07-04,RPT,3053.47306846271,0,0
1,10003,10003,2010-06-30,RES,0,0,0
1,10003,10003,2010-12-11,INT40,0,0,0
1,10003,10003,2011-06-30,RES,0,0,0
1,10003,10003,2012-01-08,INT70,0,0,0
1,10003,10003,2012-06-30,RES,0,0,0
1,10003,10003,2012-09-27,INT90,0,0,0
1,10003,10003,2013-02-05,PMT,-3053.47306846271,5089.12178077118,0
1,10004,10004,2009-07-22,RPT,2756.15753843449,0,0
1,10004,10004,2009-08-09,INT40,0,0,0
1,10004,10004,2009-08-23,INT70,0,0,0
1,10004,10004,2009-09-01,INT90,0,0,0
1,10004,10004,2009-09-06,PMT,-2756.15753843449,4593.59589739082,0
1,10005,10005,2010-09-04,RPT,3491.89091874008,0,0
1,10005,10005,2010-11-13,INT40,0,0,0
1,10005,10005,2011-01-05,INT70,0,0,0
1,10005,10005,2011-02-09,INT90,0,0,0
1,10005,10005,2011-02-27,PMT,-3491.89091874008,5819.81819790013,0
1,10006,10006,2009-05-07,RPT,3104.27979344063,0,0
1,10006,10006,2009-06-30,RES,0,0,0
1,10006,10006,2010-04-22,INT40,0,0,0
1,10006,10006,2010-06-30,RES,0,0,0
1,10006,10006,2011-01-10,INT70,0,0,0
1,10006,10006,2011-06-30,RES,0,0,0
1,10006,10006,2011-07-04,INT90,0,0,0
1,10006,10006,2011-09-30,PMT,-3104.27979344063,5173.79965573439,0
1,10007,10007,2009-06-16,RPT,2971.68554069207,0,0
1,10007,10007,2009-06-30,RES,0,0,0
