"","ep","ind_itdpaid","ind_case","med_itdpaid","med_case","ibnr","totalincurred","lossratio","ind_itdrptd","med_itdrptd"
"1986",3506609097,1383117785,4696354,1141111979,32902227,18852369,2580680714,0.736,1387814139,1174014206
"1987",4374085383,1505867310,6185596,1332314887,39173789,57912715,2941454297,0.672,1512052906,1371488676
"1988",5173049472,1702887219,6411903,1539561728,35082864,38394980,3322338694,0.642,1709299122,1574644592
"1989",5674529942,1939421757,8364069,1794485421,50360007,39588930,3832220184,0.675,1947785826,1844845428
"1990",5698665461,2257116263,8187178,2039221270,48404287,60232828,4413161826,0.774,2265303441,2087625557
"1991",5863319243,2473423122,14313664,2192972914,54313248,61877666,4796900614,0.818,2487736786,2247286162
"1992",5681466382,1973788980,12429314,1758814049,52721173,62035351,3859788867,0.679,1986218294,1811535222
"1993",5928480359,1690884092,13707161,1509597254,71795669,41193634,3327177810,0.561,1704591253,1581392923
"1994",5022749028,1624084155,20470114,1460722471,86145428,44556806,3235978974,0.644,1644554269,1546867899
"1995",3778975599,1759309493,26907658,1610757867,100551537,54045943,3551572498,0.94,1786217151,1711309404
"1996",3736857547,1946552690,33327458,1705656771,104902971,71270944,3861710834,1.033,1979880148,1810559742
"1997",3916944392,2305959228,42246558,1998896856,137481819,100489189,4585073650,1.171,2348205786,2136378675
"1998",4322051270,2760747060,53621974,2619619452,224484222,201817155,5860289863,1.356,2814369034,2844103674
"1999",4537629086,3038551123,55005115,3009072001,195343958,247230156,6545202353,1.442,3093556238,3204415959
"2000",5905419052,3408497177,71904302,3532483141,227335976,413158071,7653378667,1.296,3480401479,3759819117
"2001",10094684192,4814130926,108443908,5313356167,392197923,620330280,11248459204,1.114,4922574834,5705554090
"2002",13405893679,4744478318,100073390,5429787335,348075870,891521458,11513936371,0.859,4844551708,5777863205
"2003",19429675115,4511467702,155250075,4998045890,366192199,1265540073,11296495939,0.581,4666717777,5364238089
"2004",23043963090,3180258066,130885799,4000396857,314046496,1383749869,9009337087,0.391,3311143865,4314443353
"2005",21350709483,2503208639,115442597,3595158218,307562858,1118811243,7640183555,0.358,2618651236,3902721076
"2006",17205061787,2586897759,124835254,3699532210,335281747,779724521,7526271491,0.437,2711733013,4034813957
"2007",13252379499,2721360736,144773122,3961873811,377981916,860346847,8066336432,0.609,2866133858,4339855727
"2008",10744360124,2764003172,162069481,3951597327,384186879,533801561,7795658420,0.726,2926072653,4335784206
"2009",8877640496,2629424778,158679131,3746086526,374251494,526400065,7434841994,0.837,2788103909,4120338020
"2010",9398228398,2638896065,167628893,3831023884,372090950,606343669,7615983461,0.81,2806524958,4203114834
"2011",10129285077,2598490238,181088413,3460574028,397352825,816031403,7453536907,0.736,2779578651,3857926853
"2012",11692134220,2607060304,226624384,3319753740,437395736,1009801100,7600635264,0.65,2833684688,3757149476
"2013",14149827161,2609023740,254410788,3130753585,491123538,1742570108,8227881759,0.581,2863434528,3621877123
"2014",15997914039,2654684051,359773250,2961386458,570848001,2842633281,9389325041,0.587,3014457301,3532234459
"2015",17059168432,2534201569,489211212,2741358039,766863317,3471587166,10003221303,0.586,3023412781,3508221356
"2016",17952877787,2149397588,649240851,2353023555,976318486,3881776066,10009756546,0.558,2798638439,3329342041
"2017",17672417401,1514398014,910934330,1822545807,1281400143,4617739953,10147018247,0.574,2425332344,3103945950
"2018",17420199712,683354244,961605325,1046190125,1568577049,5814092079,10073818822,0.578,1644959569,2614767174
"2019",3993572512,19602795,109885445,35728898,253515650,1819196448,2237929236,0.56,129488240,289244548
