"","ay","age","eval_date","D","G","metric","amount"
"ind_itdpaid.39",2017,39,03/31/2020,7958174.57439081,21207938.7015692,"ind_itdpaid",2246142438.18892
"ind_itdpaid.51.2019-03-31.2016.ind_itdpaid",2016,51,03/31/2020,9414251.22858847,25136317.8906115,"ind_itdpaid",2625174787.70144
"ind_itdpaid.51.2019-03-31.2017.ind_itdpaid1",2017,51,03/31/2021,13829703.7192509,36485717.2841804,"ind_itdpaid",2743334472.52374
"ind_itdpaid.63.2019-03-31.2015.ind_itdpaid",2015,63,03/31/2020,7884947.90252912,20964696.8997438,"ind_itdpaid",2846580085.18577
"ind_itdpaid.63.2019-03-31.2016.ind_itdpaid1",2016,63,03/31/2021,13361938.6023558,35390640.1138312,"ind_itdpaid",2948767123.42636
"ind_itdpaid.63.2019-03-31.2017.ind_itdpaid11",2017,63,03/31/2022,17725050.5117423,46426355.5577917,"ind_itdpaid",3081491769.24833
"ind_itdpaid.75.2019-03-31.2014.ind_itdpaid",2014,75,03/31/2020,6624558.80455976,17881842.4037523,"ind_itdpaid",2862159654.45535
"ind_itdpaid.75.2019-03-31.2015.ind_itdpaid1",2015,75,03/31/2021,11078323.0567563,29219485.1147397,"ind_itdpaid",3069053234.38611
"ind_itdpaid.75.2019-03-31.2016.ind_itdpaid11",2016,75,03/31/2022,16176744.4597344,42557109.032819,"ind_itdpaid",3179226653.30967
"ind_itdpaid.75.2019-03-31.2017.ind_itdpaid111",2017,75,03/31/2023,20599454.2303461,53634424.0744682,"ind_itdpaid",3322324332.40274
"ind_itdpaid.87.2019-03-31.2013.ind_itdpaid",2013,87,03/31/2020,4988201.3004558,14099395.6482594,"ind_itdpaid",2749619102.0735
"ind_itdpaid.87.2019-03-31.2014.ind_itdpaid1",2014,87,03/31/2021,8870557.3650624,23942261.7485663,"ind_itdpaid",3016396032.89869
"ind_itdpaid.87.2019-03-31.2015.ind_itdpaid11",2015,87,03/31/2022,13066892.3185506,34381961.0381264,"ind_itdpaid",3234438717.12279
"ind_itdpaid.87.2019-03-31.2016.ind_itdpaid111",2016,87,03/31/2023,18099674.4193413,47474207.7601029,"ind_itdpaid",3350549173.52399
"ind_itdpaid.87.2019-03-31.2017.ind_itdpaid1111",2017,87,03/31/2024,22619731.2420297,58721223.7665846,"ind_itdpaid",3501358116.29608
"ind_itdpaid.99.2019-03-31.2012.ind_itdpaid",2012,99,03/31/2020,5067462.69768118,15139145.4432962,"ind_itdpaid",2708581095.82589
