"","ay","age","amount","metric","eval_date"
"2007.15",2007,15,463279176,"ind_itdpaid",03/31/2008
"2008.15",2008,15,464571400,"ind_itdpaid",03/31/2009
"2009.15",2009,15,420353502,"ind_itdpaid",03/31/2010
"2010.15",2010,15,431850149,"ind_itdpaid",03/31/2011
"2011.15",2011,15,441341305,"ind_itdpaid",03/31/2012
"2012.15",2012,15,471098008,"ind_itdpaid",03/31/2013
"2013.15",2013,15,509922077,"ind_itdpaid",03/31/2014
"2014.15",2014,15,533362358,"ind_itdpaid",03/31/2015
"2015.15",2015,15,577483184,"ind_itdpaid",03/31/2016
"2016.15",2016,15,610594945,"ind_itdpaid",03/31/2017
"2017.15",2017,15,631246486,"ind_itdpaid",03/31/2018
"2006.27",2006,27,996389128,"ind_itdpaid",03/31/2008
"2007.27",2007,27,1039135191,"ind_itdpaid",03/31/2009
"2008.27",2008,27,1058758221,"ind_itdpaid",03/31/2010
"2009.27",2009,27,995817446,"ind_itdpaid",03/31/2011
"2010.27",2010,27,1036008509,"ind_itdpaid",03/31/2012
"2011.27",2011,27,1073783395,"ind_itdpaid",03/31/2013
"2012.27",2012,27,1141941571,"ind_itdpaid",03/31/2014
"2013.27",2013,27,1216164153,"ind_itdpaid",03/31/2015
"2014.27",2014,27,1309404589,"ind_itdpaid",03/31/2016
"2015.27",2015,27,1425228499,"ind_itdpaid",03/31/2017
"2016.27",2016,27,1467259654,"ind_itdpaid",03/31/2018
"2005.39",2005,39,1405049043,"ind_itdpaid",03/31/2008
"2006.39",2006,39,1417861729,"ind_itdpaid",03/31/2009
"2007.39",2007,39,1492198135,"ind_itdpaid",03/31/2010
"2008.39",2008,39,1554257068,"ind_itdpaid",03/31/2011
"2009.39",2009,39,1492730352,"ind_itdpaid",03/31/2012
"2010.39",2010,39,1559192805,"ind_itdpaid",03/31/2013
"2011.39",2011,39,1590273208,"ind_itdpaid",03/31/2014
"2012.39",2012,39,1686647700,"ind_itdpaid",03/31/2015
"2013.39",2013,39,1812084588,"ind_itdpaid",03/31/2016
"2014.39",2014,39,1965416288,"ind_itdpaid",03/31/2017
"2015.39",2015,39,2102212036,"ind_itdpaid",03/31/2018
"2004.51",2004,51,2209213852,"ind_itdpaid",03/31/2008
"2005.51",2005,51,1686058852,"ind_itdpaid",03/31/2009
"2006.51",2006,51,1697180489,"ind_itdpaid",03/31/2010
"2007.51",2007,51,1807051941,"ind_itdpaid",03/31/2011
"2008.51",2008,51,1917953222,"ind_itdpaid",03/31/2012
"2009.51",2009,51,1848000176,"ind_itdpaid",03/31/2013
"2010.51",2010,51,1933399079,"ind_itdpaid",03/31/2014
"2011.51",2011,51,1951265227,"ind_itdpaid",03/31/2015
"2012.51",2012,51,2056023547,"ind_itdpaid",03/31/2016
"2013.51",2013,51,2203494859,"ind_itdpaid",03/31/2017
"2014.51",2014,51,2387980790,"ind_itdpaid",03/31/2018
"2003.63",2003,63,3533393392,"ind_itdpaid",03/31/2008
"2004.63",2004,63,2434553665,"ind_itdpaid",03/31/2009
"2005.63",2005,63,1861408973,"ind_itdpaid",03/31/2010
"2006.63",2006,63,1902539328,"ind_itdpaid",03/31/2011
"2007.63",2007,63,2036547538,"ind_itdpaid",03/31/2012
"2008.63",2008,63,2171123047,"ind_itdpaid",03/31/2013
"2009.63",2009,63,2097480200,"ind_itdpaid",03/31/2014
"2010.63",2010,63,2182807560,"ind_itdpaid",03/31/2015
"2011.63",2011,63,2202978441,"ind_itdpaid",03/31/2016
"2012.63",2012,63,2306858420,"ind_itdpaid",03/31/2017
"2013.63",2013,63,2448082788,"ind_itdpaid",03/31/2018
"2002.75",2002,75,4024878759,"ind_itdpaid",03/31/2008
"2003.75",2003,75,3759530569,"ind_itdpaid",03/31/2009
"2004.75",2004,75,2597668760,"ind_itdpaid",03/31/2010
"2005.75",2005,75,1997291828,"ind_itdpaid",03/31/2011
"2006.75",2006,75,2064255171,"ind_itdpaid",03/31/2012
"2007.75",2007,75,2209654079,"ind_itdpaid",03/31/2013
"2008.75",2008,75,2351326260,"ind_itdpaid",03/31/2014
"2009.75",2009,75,2273668537,"ind_itdpaid",03/31/2015
"2010.75",2010,75,2359614972,"ind_itdpaid",03/31/2016
"2011.75",2011,75,2370404802,"ind_itdpaid",03/31/2017
"2012.75",2012,75,2479872801,"ind_itdpaid",03/31/2018
"2001.87",2001,87,4212168939,"ind_itdpaid",03/31/2008
"2002.87",2002,87,4197948545,"ind_itdpaid",03/31/2009
"2003.87",2003,87,3906152261,"ind_itdpaid",03/31/2010
"2004.87",2004,87,2714563854,"ind_itdpaid",03/31/2011
"2005.87",2005,87,2111137462,"ind_itdpaid",03/31/2012
"2006.87",2006,87,2192238992,"ind_itdpaid",03/31/2013
"2007.87",2007,87,2344442977,"ind_itdpaid",03/31/2014
"2008.87",2008,87,2478297878,"ind_itdpaid",03/31/2015
"2009.87",2009,87,2400993975,"ind_itdpaid",03/31/2016
"2010.87",2010,87,2484674566,"ind_itdpaid",03/31/2017
"2011.87",2011,87,2496036257,"ind_itdpaid",03/31/2018
"2000.99",2000,99,3092500147,"ind_itdpaid",03/31/2008
"2001.99",2001,99,4338534007,"ind_itdpaid",03/31/2009
"2002.99",2002,99,4315491105,"ind_itdpaid",03/31/2010
"2003.99",2003,99,4019430677,"ind_itdpaid",03/31/2011
"2004.99",2004,99,2825860972,"ind_itdpaid",03/31/2012
"2005.99",2005,99,2212472060,"ind_itdpaid",03/31/2013
"2006.99",2006,99,2290889747,"ind_itdpaid",03/31/2014
"2007.99",2007,99,2442909583,"ind_itdpaid",03/31/2015
"2008.99",2008,99,2577429793,"ind_itdpaid",03/31/2016
"2009.99",2009,99,2494632740,"ind_itdpaid",03/31/2017
"2010.99",2010,99,2574122850,"ind_itdpaid",03/31/2018
"1999.111",1999,111,2790234013,"ind_itdpaid",03/31/2008
"2000.111",2000,111,3160535150,"ind_itdpaid",03/31/2009
