"","ay","age","amount","metric","eval_date"
"2008.15",2008,15,2.279,"ind_itdpaid",2010-03-31
"2009.15",2009,15,2.369,"ind_itdpaid",2011-03-31
"2010.15",2010,15,2.399,"ind_itdpaid",2012-03-31
"2011.15",2011,15,2.433,"ind_itdpaid",2013-03-31
"2012.15",2012,15,2.424,"ind_itdpaid",2014-03-31
"2013.15",2013,15,2.385,"ind_itdpaid",2015-03-31
"2014.15",2014,15,2.455,"ind_itdpaid",2016-03-31
"2015.15",2015,15,2.468,"ind_itdpaid",2017-03-31
"2016.15",2016,15,2.403,"ind_itdpaid",2018-03-31
"2017.15",2017,15,2.392,"ind_itdpaid",2019-03-31
"2007.27",2007,27,1.436,"ind_itdpaid",2010-03-31
"2008.27",2008,27,1.468,"ind_itdpaid",2011-03-31
"2009.27",2009,27,1.499,"ind_itdpaid",2012-03-31
"2010.27",2010,27,1.505,"ind_itdpaid",2013-03-31
"2011.27",2011,27,1.481,"ind_itdpaid",2014-03-31
"2012.27",2012,27,1.477,"ind_itdpaid",2015-03-31
"2013.27",2013,27,1.49,"ind_itdpaid",2016-03-31
"2014.27",2014,27,1.501,"ind_itdpaid",2017-03-31
"2015.27",2015,27,1.476,"ind_itdpaid",2018-03-31
"2016.27",2016,27,1.46,"ind_itdpaid",2019-03-31
"2006.39",2006,39,1.197,"ind_itdpaid",2010-03-31
"2007.39",2007,39,1.211,"ind_itdpaid",2011-03-31
"2008.39",2008,39,1.234,"ind_itdpaid",2012-03-31
"2009.39",2009,39,1.238,"ind_itdpaid",2013-03-31
"2010.39",2010,39,1.24,"ind_itdpaid",2014-03-31
"2011.39",2011,39,1.227,"ind_itdpaid",2015-03-31
"2012.39",2012,39,1.219,"ind_itdpaid",2016-03-31
"2013.39",2013,39,1.216,"ind_itdpaid",2017-03-31
"2014.39",2014,39,1.215,"ind_itdpaid",2018-03-31
"2015.39",2015,39,1.202,"ind_itdpaid",2019-03-31
"2005.51",2005,51,1.104,"ind_itdpaid",2010-03-31
"2006.51",2006,51,1.121,"ind_itdpaid",2011-03-31
"2007.51",2007,51,1.127,"ind_itdpaid",2012-03-31
"2008.51",2008,51,1.132,"ind_itdpaid",2013-03-31
"2009.51",2009,51,1.135,"ind_itdpaid",2014-03-31
"2010.51",2010,51,1.129,"ind_itdpaid",2015-03-31
"2011.51",2011,51,1.129,"ind_itdpaid",2016-03-31
"2012.51",2012,51,1.122,"ind_itdpaid",2017-03-31
"2013.51",2013,51,1.111,"ind_itdpaid",2018-03-31
"2014.51",2014,51,1.109,"ind_itdpaid",2019-03-31
"2004.63",2004,63,1.067,"ind_itdpaid",2010-03-31
"2005.63",2005,63,1.073,"ind_itdpaid",2011-03-31
"2006.63",2006,63,1.085,"ind_itdpaid",2012-03-31
"2007.63",2007,63,1.085,"ind_itdpaid",2013-03-31
"2008.63",2008,63,1.083,"ind_itdpaid",2014-03-31
"2009.63",2009,63,1.084,"ind_itdpaid",2015-03-31
"2010.63",2010,63,1.081,"ind_itdpaid",2016-03-31
"2011.63",2011,63,1.076,"ind_itdpaid",2017-03-31
"2012.63",2012,63,1.076,"ind_itdpaid",2018-03-31
"2013.63",2013,63,1.063,"ind_itdpaid",2019-03-31
"2003.75",2003,75,1.039,"ind_itdpaid",2010-03-31
"2004.75",2004,75,1.045,"ind_itdpaid",2011-03-31
"2005.75",2005,75,1.057,"ind_itdpaid",2012-03-31
"2006.75",2006,75,1.062,"ind_itdpaid",2013-03-31
"2007.75",2007,75,1.061,"ind_itdpaid",2014-03-31
"2008.75",2008,75,1.054,"ind_itdpaid",2015-03-31
"2009.75",2009,75,1.056,"ind_itdpaid",2016-03-31
"2010.75",2010,75,1.053,"ind_itdpaid",2017-03-31
"2011.75",2011,75,1.053,"ind_itdpaid",2018-03-31
"2012.75",2012,75,1.047,"ind_itdpaid",2019-03-31
"2002.87",2002,87,1.028,"ind_itdpaid",2010-03-31
"2003.87",2003,87,1.029,"ind_itdpaid",2011-03-31
"2004.87",2004,87,1.041,"ind_itdpaid",2012-03-31
"2005.87",2005,87,1.048,"ind_itdpaid",2013-03-31
"2006.87",2006,87,1.045,"ind_itdpaid",2014-03-31
"2007.87",2007,87,1.042,"ind_itdpaid",2015-03-31
"2008.87",2008,87,1.04,"ind_itdpaid",2016-03-31
"2009.87",2009,87,1.039,"ind_itdpaid",2017-03-31
"2010.87",2010,87,1.036,"ind_itdpaid",2018-03-31
"2011.87",2011,87,1.038,"ind_itdpaid",2019-03-31
"2001.99",2001,99,1.022,"ind_itdpaid",2010-03-31
"2002.99",2002,99,1.019,"ind_itdpaid",2011-03-31
"2003.99",2003,99,1.025,"ind_itdpaid",2012-03-31
"2004.99",2004,99,1.034,"ind_itdpaid",2013-03-31
"2005.99",2005,99,1.037,"ind_itdpaid",2014-03-31
"2006.99",2006,99,1.032,"ind_itdpaid",2015-03-31
"2007.99",2007,99,1.032,"ind_itdpaid",2016-03-31
"2008.99",2008,99,1.025,"ind_itdpaid",2017-03-31
"2009.99",2009,99,1.029,"ind_itdpaid",2018-03-31
"2010.99",2010,99,1.024,"ind_itdpaid",2019-03-31
"2000.111",2000,111,1.015,"ind_itdpaid",2010-03-31
"2001.111",2001,111,1.016,"ind_itdpaid",2011-03-31
"2002.111",2002,111,1.018,"ind_itdpaid",2012-03-31
"2003.111",2003,111,1.022,"ind_itdpaid",2013-03-31
"2004.111",2004,111,1.026,"ind_itdpaid",2014-03-31
"2005.111",2005,111,1.025,"ind_itdpaid",2015-03-31
"2006.111",2006,111,1.026,"ind_itdpaid",2016-03-31
"2007.111",2007,111,1.025,"ind_itdpaid",2017-03-31
"2008.111",2008,111,1.021,"ind_itdpaid",2018-03-31
"2009.111",2009,111,1.023,"ind_itdpaid",2019-03-31
"1999.123",1999,123,1.014,"ind_itdpaid",2010-03-31
"2000.123",2000,123,1.012,"ind_itdpaid",2011-03-31
"2001.123",2001,123,1.014,"ind_itdpaid",2012-03-31
"2002.123",2002,123,1.014,"ind_itdpaid",2013-03-31
"2003.123",2003,123,1.02,"ind_itdpaid",2014-03-31
"2004.123",2004,123,1.018,"ind_itdpaid",2015-03-31
"2005.123",2005,123,1.019,"ind_itdpaid",2016-03-31
"2006.123",2006,123,1.017,"ind_itdpaid",2017-03-31
"2007.123",2007,123,1.017,"ind_itdpaid",2018-03-31
"2008.123",2008,123,1.018,"ind_itdpaid",2019-03-31
"1998.135",1998,135,1.009,"ind_itdpaid",2010-03-31
"1999.135",1999,135,1.01,"ind_itdpaid",2011-03-31
"2000.135",2000,135,1.01,"ind_itdpaid",2012-03-31
"2001.135",2001,135,1.011,"ind_itdpaid",2013-03-31
"2002.135",2002,135,1.012,"ind_itdpaid",2014-03-31
"2003.135",2003,135,1.015,"ind_itdpaid",2015-03-31
"2004.135",2004,135,1.014,"ind_itdpaid",2016-03-31
"2005.135",2005,135,1.014,"ind_itdpaid",2017-03-31
"2006.135",2006,135,1.015,"ind_itdpaid",2018-03-31
"2007.135",2007,135,1.016,"ind_itdpaid",2019-03-31
"1997.147",1997,147,1.007,"ind_itdpaid",2010-03-31
"1998.147",1998,147,1.009,"ind_itdpaid",2011-03-31
"1999.147",1999,147,1.009,"ind_itdpaid",2012-03-31
"2000.147",2000,147,1.009,"ind_itdpaid",2013-03-31
"2001.147",2001,147,1.011,"ind_itdpaid",2014-03-31
"2002.147",2002,147,1.009,"ind_itdpaid",2015-03-31
"2003.147",2003,147,1.01,"ind_itdpaid",2016-03-31
"2004.147",2004,147,1.011,"ind_itdpaid",2017-03-31
"2005.147",2005,147,1.012,"ind_itdpaid",2018-03-31
"2006.147",2006,147,1.011,"ind_itdpaid",2019-03-31
"1996.159",1996,159,1.007,"ind_itdpaid",2010-03-31
"1997.159",1997,159,1.007,"ind_itdpaid",2011-03-31
"1998.159",1998,159,1.008,"ind_itdpaid",2012-03-31
"1999.159",1999,159,1.008,"ind_itdpaid",2013-03-31
"2000.159",2000,159,1.007,"ind_itdpaid",2014-03-31
"2001.159",2001,159,1.008,"ind_itdpaid",2015-03-31
"2002.159",2002,159,1.007,"ind_itdpaid",2016-03-31
"2003.159",2003,159,1.009,"ind_itdpaid",2017-03-31
"2004.159",2004,159,1.008,"ind_itdpaid",2018-03-31
"2005.159",2005,159,1.011,"ind_itdpaid",2019-03-31
"1995.171",1995,171,1.006,"ind_itdpaid",2010-03-31
"1996.171",1996,171,1.004,"ind_itdpaid",2011-03-31
"1997.171",1997,171,1.006,"ind_itdpaid",2012-03-31
"1998.171",1998,171,1.007,"ind_itdpaid",2013-03-31
"1999.171",1999,171,1.006,"ind_itdpaid",2014-03-31
"2000.171",2000,171,1.007,"ind_itdpaid",2015-03-31
"2001.171",2001,171,1.007,"ind_itdpaid",2016-03-31
"2002.171",2002,171,1.006,"ind_itdpaid",2017-03-31
"2003.171",2003,171,1.008,"ind_itdpaid",2018-03-31
"2004.171",2004,171,1.008,"ind_itdpaid",2019-03-31
"1994.183",1994,183,1.003,"ind_itdpaid",2010-03-31
"1995.183",1995,183,1.004,"ind_itdpaid",2011-03-31
"1996.183",1996,183,1.005,"ind_itdpaid",2012-03-31
"1997.183",1997,183,1.005,"ind_itdpaid",2013-03-31
"1998.183",1998,183,1.006,"ind_itdpaid",2014-03-31
"1999.183",1999,183,1.006,"ind_itdpaid",2015-03-31
"2000.183",2000,183,1.004,"ind_itdpaid",2016-03-31
"2001.183",2001,183,1.006,"ind_itdpaid",2017-03-31
"2002.183",2002,183,1.005,"ind_itdpaid",2018-03-31
"2003.183",2003,183,1.007,"ind_itdpaid",2019-03-31
"1993.195",1993,195,1.002,"ind_itdpaid",2010-03-31
"1994.195",1994,195,1.003,"ind_itdpaid",2011-03-31
"1995.195",1995,195,1.004,"ind_itdpaid",2012-03-31
"1996.195",1996,195,1.004,"ind_itdpaid",2013-03-31
"1997.195",1997,195,1.005,"ind_itdpaid",2014-03-31
"1998.195",1998,195,1.006,"ind_itdpaid",2015-03-31
"1999.195",1999,195,1.005,"ind_itdpaid",2016-03-31
"2000.195",2000,195,1.004,"ind_itdpaid",2017-03-31
"2001.195",2001,195,1.005,"ind_itdpaid",2018-03-31
"2002.195",2002,195,1.005,"ind_itdpaid",2019-03-31
"1992.207",1992,207,1.001,"ind_itdpaid",2010-03-31
"1993.207",1993,207,1.002,"ind_itdpaid",2011-03-31
"1994.207",1994,207,1.004,"ind_itdpaid",2012-03-31
"1995.207",1995,207,1.005,"ind_itdpaid",2013-03-31
"1996.207",1996,207,1.005,"ind_itdpaid",2014-03-31
